frame_index	pts_seconds	enqueue_host_ns	proof_host_ns	proof_source	inferred_display_ns	ack2_host_ns
250	8.333333	163241049439000	163241073695000	drawable-presented	163241049176625	0
251	8.366667	163241082580875	163241107028416	drawable-presented	163241082518625	0
252	8.400000	163241116004125	163241140361708	drawable-presented	163241115840500	0
253	8.433333	163241149284291	163241173695125	drawable-presented	163241149180000	0
254	8.466667	163241182647333	163241207028541	drawable-presented	163241182523541	0
255	8.500000	163241215915791	163241240361916	drawable-presented	163241215841208	0
256	8.533333	163241249499250	163241273695291	drawable-presented	163241249205916	0
257	8.566667	163241274410458	163241298695291	drawable-presented	163241274248666	0
258	8.600000	163241316082416	163241340362000	drawable-presented	163241315887916	0
259	8.633333	163241349417166	163241373695416	drawable-presented	163241349226000	0
260	8.666667	163241375068958	163241398695416	drawable-presented	163241374732375	0
261	8.700000	163241416068250	163241440362125	drawable-presented	163241415868708	0
262	8.733333	163241441316000	163241465362208	drawable-presented	163241440892541	0
263	8.766667	163241482752583	163241507028875	drawable-presented	163241482553208	0
264	8.800000	163241515997083	163241540362291	drawable-presented	163241515860208	0
265	8.833333	163241541014583	163241565362375	drawable-presented	163241540881666	0
266	8.866667	163241582715833	163241607029083	drawable-presented	163241582547875	0
267	8.900000	163241615935333	163241640362500	drawable-presented	163241615857291	0
268	8.933333	163241649534666	163241673695791	drawable-presented	163241649210291	0
269	8.966667	163241674655500	163241698695833	drawable-presented	163241674235583	0
270	9.000000	163241716066750	163241740362625	drawable-presented	163241715874041	0
271	9.033333	163241749441208	163241773695958	drawable-presented	163241749198666	0
272	9.066667	163241774726375	163241798695958	drawable-presented	163241774397000	0
273	9.100000	163241816093916	163241840362666	drawable-presented	163241815886333	0
274	9.133333	163241849259666	163241873696250	drawable-presented	163241849191583	0
275	9.166667	163241882551541	163241907029500	drawable-presented	163241882502458	0
276	9.200000	163241915921833	163241940362875	drawable-presented	163241915847166	0
277	9.233333	163241949258541	163241973696250	drawable-presented	163241949190208	0
278	9.266667	163241982578875	163242007029583	drawable-presented	163241982529083	0
279	9.300000	163242015896833	163242040363000	drawable-presented	163242015861166	0
280	9.333333	163242049274000	163242073696416	drawable-presented	163242049196708	0
281	9.366667	163242082619208	163242107029750	drawable-presented	163242082515291	0
282	9.400000	163242107989625	163242132029791	drawable-presented	163242107959041	0
283	9.433333	163242149326666	163242165363166	drawable-presented	163242149180083	0
284	9.466667	163242182591333	163242207029875	drawable-presented	163242182520250	0
285	9.500000	163242215925125	163242240363250	drawable-presented	163242215846291	0
286	9.533333	163242249256125	163242273696666	drawable-presented	163242249198625	0
287	9.566667	163242282598375	163242307030041	drawable-presented	163242282519041	0
288	9.600000	163242315890416	163242340363416	drawable-presented	163242315845333	0
289	9.633333	163242349205125	163242373696791	drawable-presented	163242349171791	0
290	9.666667	163242382588041	163242407030208	drawable-presented	163242382527750	0
291	9.700000	163242415876416	163242432030208	drawable-presented	163242415840875	0
292	9.733333	163242449238666	163242473696958	drawable-presented	163242449195666	0
293	9.766667	163242482554000	163242507030291	drawable-presented	163242482521166	0
294	9.800000	163242516036458	163242540363750	drawable-presented	163242515855708	0
295	9.833333	163242549874541	163242573697041	drawable-presented	163242549232250	0
296	9.866667	163242582689250	163242607030458	drawable-presented	163242582519041	0
297	9.900000	163242616231791	163242640363791	drawable-presented	163242615850791	0
298	9.933333	163242649356708	163242673697250	drawable-presented	163242649205541	0
299	9.966667	163242682824500	163242707030583	drawable-presented	163242682543291	0
300	10.000000	163242716241125	163242740364083	drawable-presented	163242715857583	0
301	10.033333	163242749361625	163242773697333	drawable-presented	163242749203833	0
302	10.066667	163242782692250	163242807030708	drawable-presented	163242782534375	0
303	10.100000	163242816083416	163242840364083	drawable-presented	163242815893416	0
304	10.133333	163242849342291	163242873697541	drawable-presented	163242849199250	0
305	10.166667	163242874382708	163242898697541	drawable-presented	163242874227083	0
306	10.200000	163242916099541	163242940364250	drawable-presented	163242915847416	0
